step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.7019,0.5049,0.5012,0.0000,9,1.152e-01,4.630e-04,1.000,1.621e-02,0.503,2.03
100,0.5916,0.5786,0.5898,0.0000,24,3.286e-01,3.188e-05,0.995,5.219e-02,0.521,0.22
200,0.0269,0.7256,0.6447,0.0078,24,7.981e-01,1.880e-01,0.036,,1.014,0.24
300,0.0118,0.9922,0.9915,0.9619,24,1.040e+00,1.363e-02,0.570,5.416e-02,0.588,0.24
400,0.0101,0.9990,0.9825,0.9502,24,1.064e+00,6.305e-03,0.789,2.560e-01,0.571,0.24
500,0.0061,0.9985,0.9954,0.9785,24,1.574e+00,1.901e-02,0.533,2.560e-01,0.737,0.24
600,0.0025,1.0000,0.9981,0.9893,24,1.788e+00,1.435e-02,0.605,5.068e-01,0.763,0.25
600,0.0025,1.0000,0.9981,0.9893,24,1.788e+00,1.435e-02,0.605,5.068e-01,0.763,0.26
700,0.0009,1.0000,0.9989,0.9932,24,1.782e+00,2.377e-03,0.818,6.533e-02,0.558,0.26
800,0.0004,1.0000,0.9998,0.9980,24,1.819e+00,5.018e-03,0.712,2.003e-01,0.602,0.26
900,0.0006,1.0000,0.9990,0.9941,24,1.892e+00,3.223e-03,0.792,1.278e-01,0.560,0.26
1000,0.0042,0.9995,1.0000,1.0000,24,1.969e+00,1.401e-03,0.902,1.120e-01,0.630,0.25
