step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.7019,0.5049,0.5012,0.0000,9,1.151e-01,4.024e-04,1.000,1.620e-02,0.502,0.64
100,0.5915,0.5781,0.5928,0.0000,24,3.350e-01,7.238e-05,0.993,5.156e-02,0.521,0.23
200,0.2799,0.8848,0.8637,0.4414,24,5.076e-01,2.169e-02,0.184,3.433e-01,0.699,0.25
300,0.0000,0.5630,0.5815,0.0029,24,1.370e+00,6.830e-01,0.008,,0.708,1.93
400,0.0000,0.5835,0.5810,0.0029,24,1.367e+00,6.704e-01,0.000,,0.686,0.24
500,0.0000,0.5723,0.5811,0.0029,24,1.405e+00,6.762e-01,0.000,,0.706,0.23
600,0.0000,0.5610,0.5812,0.0029,24,1.434e+00,6.896e-01,0.000,,0.688,0.22
700,0.0000,0.5444,0.5812,0.0029,24,1.384e+00,6.719e-01,0.000,,0.707,0.21
