step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.7019,0.5049,0.5012,0.0000,9,1.152e-01,4.630e-04,1.000,1.621e-02,0.503,0.79
100,0.5916,0.5786,0.5898,0.0000,24,3.286e-01,3.188e-05,0.995,5.219e-02,0.521,0.26
200,0.6990,0.6997,0.7103,0.0254,24,8.049e-01,3.133e-01,0.015,4.186e-01,0.939,0.29
300,0.0551,0.9800,0.9813,0.9150,24,1.358e+00,4.849e-02,0.296,8.373e-01,0.781,0.30
400,0.0314,0.9951,0.9945,0.9775,24,1.682e+00,1.662e-02,0.484,2.099e-01,0.645,0.30
500,0.0624,0.9907,0.9516,0.6445,24,2.019e+00,2.239e-01,0.014,5.422e-01,1.047,0.30
600,0.0070,1.0000,0.9984,0.9873,24,2.412e+00,1.358e-02,0.567,3.986e-01,0.687,0.46
700,0.0121,0.9995,0.9965,0.9854,24,2.719e+00,1.311e-02,0.529,1.251e-01,0.592,0.31
800,0.6675,0.5474,0.5339,0.0000,24,7.213e+00,5.133e-05,0.987,5.259e-02,0.548,0.30
900,0.2032,0.9248,0.9156,0.5205,24,7.610e+00,3.245e-02,0.311,3.990e-01,0.713,0.30
1000,0.0406,0.9917,0.9868,0.9053,24,1.027e+01,1.026e-01,0.108,3.867e-01,0.833,0.30
1100,0.0110,0.9980,0.9936,0.9521,24,1.218e+01,1.516e-02,0.477,1.799e-01,0.605,0.30
1200,0.0144,0.9966,0.9744,0.8447,24,1.267e+01,9.021e-02,0.178,5.430e-01,0.812,0.73
1300,0.0043,1.0000,0.9984,0.9883,24,1.120e+01,5.803e-03,0.610,8.488e-02,0.590,0.31
1400,0.0337,0.9951,0.9872,0.8926,24,1.251e+01,5.025e-02,0.184,3.610e-01,0.624,0.30
1500,0.0143,0.9956,0.9815,0.8867,24,1.871e+01,9.791e-02,0.107,4.366e-01,0.779,0.30
1600,0.0147,1.0000,0.9994,0.9961,24,1.650e+01,1.780e-03,0.857,4.368e-01,0.553,0.30
1700,0.0007,1.0000,1.0000,1.0000,24,1.395e+01,3.221e-03,0.799,6.068e-02,0.540,0.30
