step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.7439,0.5000,0.5012,0.0000,11,1.102e-01,7.271e-04,1.000,2.020e-02,0.523,0.55
100,0.6110,0.6045,0.5838,0.0000,24,2.278e-01,3.847e-04,0.928,9.386e-02,0.679,0.17
200,0.0918,0.9712,0.9595,0.7939,24,4.877e-01,4.135e-02,0.073,4.532e-01,0.825,0.19
300,0.0229,0.9937,0.9937,0.9463,24,6.129e-01,5.773e-02,0.031,4.164e-01,0.830,0.20
400,0.0024,1.0000,0.9954,0.9795,24,6.010e-01,1.364e-02,0.247,2.056e-01,0.701,0.21
500,0.0010,1.0000,0.9978,0.9814,24,6.279e-01,1.250e-02,0.232,1.801e-01,0.679,0.22
600,0.0266,0.9956,0.9944,0.9717,24,6.744e-01,1.797e-02,0.164,3.570e-01,0.846,0.22
700,0.0010,1.0000,0.9991,0.9912,24,6.462e-01,6.755e-03,0.222,1.686e-01,0.709,0.22
800,0.0006,1.0000,0.9990,0.9922,24,6.864e-01,1.026e-02,0.268,1.968e-01,0.734,0.30
900,0.0002,1.0000,0.9987,0.9902,24,7.200e-01,1.083e-02,0.262,1.629e-01,0.653,0.23
1000,0.0046,0.9990,0.9990,0.9893,24,7.130e-01,1.145e-02,0.320,2.452e-01,0.645,0.22
1100,0.0027,0.9990,0.9993,0.9932,24,7.427e-01,1.668e-02,0.208,1.967e-01,0.684,0.22
1200,0.0016,0.9995,0.9990,0.9941,24,7.625e-01,1.874e-02,0.178,1.814e-01,0.734,0.29
1300,0.0001,1.0000,0.9994,0.9941,24,7.247e-01,9.195e-03,0.422,2.378e-01,0.617,0.27
1400,0.0001,1.0000,0.9998,0.9971,24,7.301e-01,5.971e-03,0.442,1.411e-01,0.641,0.25
1500,0.0007,0.9995,0.9998,0.9980,24,7.495e-01,8.474e-03,0.302,2.032e-01,0.625,0.24
1600,0.0001,1.0000,1.0000,1.0000,24,7.146e-01,4.716e-03,0.386,1.064e-01,0.635,0.23
