step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.7036,0.5166,0.5012,0.0000,9,1.624e-01,6.308e-04,1.000,1.610e-02,0.502,0.55
100,0.5748,0.5918,0.5963,0.0010,24,3.767e-01,1.997e-04,0.973,5.088e-02,0.517,0.18
200,0.5088,0.6895,0.6947,0.0117,24,4.004e-01,1.576e-03,0.807,1.604e-01,0.595,0.19
300,0.0421,0.9917,0.9826,0.9209,24,8.751e-01,2.533e-02,0.409,1.430e+00,0.738,0.19
400,0.0371,0.9917,0.9981,0.9844,24,1.074e+00,2.908e-02,0.306,1.069e+00,0.778,0.20
500,0.0264,0.9946,0.9967,0.9717,24,1.201e+00,5.115e-02,0.271,1.146e+00,0.653,0.20
600,0.0104,0.9980,0.9976,0.9785,24,1.401e+00,1.833e-02,0.386,1.171e+00,0.747,0.20
700,0.0396,0.9937,0.9993,0.9912,24,1.711e+00,7.681e-03,0.587,8.843e-02,0.565,0.20
800,0.0099,1.0000,0.9975,0.9668,24,2.313e+00,5.827e-02,0.141,3.570e-01,0.613,0.21
900,0.0225,0.9956,0.9991,0.9932,24,2.616e+00,3.234e-02,0.263,2.790e-01,0.583,0.26
1000,0.0008,1.0000,0.9986,0.9971,24,2.788e+00,4.967e-02,0.128,8.238e-01,0.603,0.23
1100,0.0313,0.9932,0.9867,0.9229,24,4.839e+00,3.639e-02,0.286,3.624e-01,0.710,0.22
1200,0.0031,0.9995,0.9967,0.9707,24,5.083e+00,4.533e-02,0.133,4.910e-01,0.686,0.22
1300,0.0024,0.9995,0.9998,0.9971,24,5.669e+00,3.095e-02,0.262,1.467e+00,0.606,0.21
1400,0.0615,0.9805,0.9821,0.8750,24,6.582e+00,2.410e-01,0.035,9.572e-01,0.899,0.21
1500,0.0030,0.9995,0.9984,0.9785,24,7.144e+00,2.843e-02,0.250,2.790e-01,0.617,0.21
1600,0.0025,0.9995,0.9937,0.9736,24,8.511e+00,3.877e-02,0.175,5.323e-01,0.572,0.21
1700,0.0030,1.0000,0.9998,0.9961,24,9.243e+00,2.130e-01,0.006,4.144e-01,0.656,0.21
1800,0.0020,0.9995,0.9993,0.9912,24,9.209e+00,1.793e-01,0.028,1.082e-01,0.815,0.22
1900,0.0027,0.9995,0.9998,0.9980,24,8.953e+00,6.157e-03,0.665,3.553e-01,0.597,0.21
2000,0.0112,0.9980,0.9972,0.9727,24,9.285e+00,7.950e-02,0.269,2.683e-01,0.660,0.21
2100,0.0022,0.9990,0.9998,0.9990,24,1.009e+01,2.466e-02,0.467,3.049e-01,0.574,0.21
2200,0.7051,0.5273,0.5148,0.0000,24,1.301e+01,1.796e-01,0.050,2.315e-01,0.670,0.21
2300,0.5529,0.6436,0.6404,0.0000,24,9.347e+00,1.935e-01,0.180,1.172e-01,0.646,0.21
2400,0.1051,0.9722,0.9784,0.8662,24,8.587e+00,3.029e-02,0.494,4.788e-01,0.722,0.21
2500,0.0022,1.0000,0.9995,0.9951,24,7.915e+00,1.845e-02,0.555,2.397e-01,0.616,0.21
2600,0.0026,1.0000,0.9999,0.9980,24,9.521e+00,1.851e-02,0.363,1.517e-01,0.599,0.21
2700,0.0030,0.9990,0.9995,0.9961,24,1.102e+01,1.798e-02,0.502,1.045e-01,0.558,0.20
2800,0.0007,1.0000,0.9996,0.9961,24,1.058e+01,3.975e-02,0.281,1.906e-01,0.613,0.21
2900,0.0155,0.9995,0.9990,0.9883,24,1.084e+01,3.102e-02,0.285,4.454e-01,0.601,0.20
3000,0.0012,1.0000,1.0000,1.0000,24,1.081e+01,1.010e-02,0.524,3.043e-01,0.584,0.20
