step,loss,cell_acc,exact_acc,ema_cell_acc,ema_exact_acc,fpi_iters,res_first,res_last,converged_frac,jac_sigma,guard,sec_per_step
1,2.6372,0.2515,0.0000,0.0671,0.0000,5,3.496e-01,1.349e-04,1.000,0.137,0,0.85
100,1.3810,0.4468,0.0000,0.2423,0.0000,5,3.386e-01,3.545e-04,1.000,0.149,0,0.14
200,1.3468,0.4761,0.0000,0.4375,0.0000,12,3.960e-01,1.014e-04,1.000,0.484,0,0.16
300,1.3119,0.4823,0.0000,0.4375,0.0000,20,3.440e-01,3.898e-05,1.000,0.738,0,0.18
400,1.2802,0.5000,0.0000,0.4375,0.0000,21,3.630e-01,4.201e-05,1.000,0.816,0,0.20
