step,loss,train_tok_acc,test_tok_acc,test_seq_acc,fpi_iters,res_first,res_last,converged_frac,bwd_res_last,jac_sigma,sec_per_step
1,0.7628,0.5000,0.5363,0.0000,9,1.102e-01,6.939e-04,1.000,1.736e-02,0.504,0.59
100,0.5675,0.6216,0.6146,0.0010,24,2.671e-01,1.331e-04,0.984,7.478e-02,0.541,0.21
200,0.2537,0.9014,0.8926,0.4961,24,4.555e-01,4.922e-02,0.014,4.172e-01,0.778,0.23
300,0.5919,0.7183,0.7152,0.0586,24,4.958e-01,1.480e-01,0.007,2.930e-01,0.771,0.24
400,0.0000,0.7588,0.7612,0.0225,24,6.689e-01,2.567e-01,0.001,,0.795,0.24
500,0.0000,0.7583,0.7618,0.0225,24,6.725e-01,2.366e-01,0.000,,0.755,0.23
600,0.0000,0.7573,0.7624,0.0225,24,6.630e-01,2.462e-01,0.004,,0.760,0.23
700,0.0000,0.7627,0.7628,0.0225,24,6.497e-01,2.427e-01,0.000,,0.772,0.22
800,0.0000,0.7827,0.7632,0.0234,24,6.399e-01,2.370e-01,0.005,,0.767,0.24
900,0.0000,0.7798,0.7634,0.0234,24,6.444e-01,2.329e-01,0.000,,0.794,0.23
1000,0.0000,0.7573,0.7639,0.0234,24,6.704e-01,2.456e-01,0.000,,0.766,0.23
1100,0.0000,0.7563,0.7647,0.0244,24,6.586e-01,2.478e-01,0.000,,0.780,0.22
1200,0.0000,0.7666,0.7650,0.0244,24,6.629e-01,2.447e-01,0.002,,0.759,0.23
1300,0.0000,0.7881,0.7657,0.0244,24,6.536e-01,2.340e-01,0.000,,0.757,0.23
1400,0.0000,0.7847,0.7659,0.0244,24,6.557e-01,2.369e-01,0.000,,0.769,0.23
1500,0.0000,0.7671,0.7661,0.0254,24,6.551e-01,2.286e-01,0.008,,0.788,0.46
1600,0.0000,0.7607,0.7667,0.0254,24,6.464e-01,2.472e-01,0.001,,0.744,0.23
1700,0.0000,0.7456,0.7675,0.0254,24,6.414e-01,2.370e-01,0.000,,0.754,0.23
1800,0.0000,0.7739,0.7675,0.0254,24,6.533e-01,2.350e-01,0.008,,0.762,0.22
1900,0.0000,0.7739,0.7679,0.0254,24,6.507e-01,2.245e-01,0.000,,0.755,0.25
2000,0.0000,0.7783,0.7687,0.0264,24,6.595e-01,2.182e-01,0.000,,0.767,0.23
